year,site,rep,species,c,n,p,CN,CP,NP,bsi,sla
2022,BUR,1,CAR,45.87889481,3.140385151,0.403146662,14.60932102,113.8019959,7.789684116,0.322417,15.26786767
2022,BUR,2,CAR,46.27392197,3.467207193,0.340688687,13.34616577,135.824651,10.17705409,0.208182,3.5896049
2022,BUR,3,CAR,44.96348572,2.370701551,0.359632742,18.96632062,125.0261181,6.592006986,0.479351,10.9745098
2022,BUR,4,CAR,43.90015411,3.381641865,0.395329983,12.9819052,111.046862,8.553972652,0.185162,11.47019394
2022,BUR,5,CAR,45.23766327,3.074614525,0.435010844,14.71327963,103.9920357,7.067903167,0.265673,19.65198409
2022,BUR,6,CAR,41.53914261,2.876357079,0.398885251,14.44158061,104.138076,7.210988796,0.230288,25.14027072
2022,BUR,7,CAR,44.98122787,3.013506651,0.293079068,14.9265401,153.4781318,10.28223089,0.269546,16.46111254
2022,BUR,8,CAR,45.11220551,3.137224913,0.3666323,14.37965296,123.0448204,8.556869957,0.193817,17.40975809
2022,BUR,9,CAR,45.29388809,3.378448963,0.364947491,13.40671077,124.1106985,9.257356311,0.244482,13.45970804
2022,BUR,10,CAR,44.73725128,3.030720949,0.390244351,14.76125715,114.6390745,7.766213497,0.250341,10.69001351
2022,BUR,1,PET,42.06826782,2.696200371,0.455716993,15.60279728,92.31226504,5.916392002,0.124169,16.72480171
2022,BUR,2,PET,36.33470917,2.794863462,0.505194705,13.00053103,71.92218926,5.532250112,0.11401,14.64039655
2022,BUR,3,PET,40.81108475,2.919234991,0.813045017,13.98006151,50.19535681,3.590496133,NA,21.02204143
2022,BUR,6,PET,43.74604797,3.832497358,0.510231677,11.41450179,85.73761678,7.511288563,0.158246,11.67549201
2022,BUR,7,PET,44.58984756,4.097666264,0.403096315,10.88176652,110.6183458,10.16547686,0.107462,13.54533811
2022,BUR,8,PET,41.22381973,3.460356712,0.565653194,11.91317057,72.87825858,6.117452795,NA,14.71126482
2022,BUR,9,PET,42.53948212,2.894219637,0.447497154,14.69808358,95.06089977,6.467571045,0.120836,10.26217484
2022,BUR,10,PET,42.96949387,2.984337568,NA,14.39833561,NA,NA,0.134045,10.12963719
2022,CON,1,CAR,NA,NA,0.400237965,NA,NA,NA,0.236371,11.84933665
2022,CON,2,CAR,43.91620636,3.280342817,0.416025423,13.38768806,105.5613525,7.884957588,0.347441,18.18946995
2022,CON,3,CAR,45.11149216,2.989534378,0.376968784,15.08980545,119.6690392,7.930456067,0.258705,15.06275946
2022,CON,4,CAR,44.26517105,3.89613986,2.083878783,11.36128903,21.24172068,1.869657626,NA,12.14871795
2022,CON,5,CAR,41.8665657,2.697564602,0.334123918,15.52013459,125.3025104,8.073545344,0.279946,15.06715686
2022,CON,6,CAR,45.17618561,2.729780197,0.343705659,16.54938579,131.4385854,7.942203239,0.320308,18.68599433
2022,CON,7,CAR,44.912323,2.833991289,0.273560215,15.84772796,164.1771009,10.35966173,0.230168,9.48998089
2022,CON,8,CAR,45.0166626,2.828257799,0.297330028,15.91674656,151.4030145,9.512183529,0.232074,17.06202968
2022,CON,9,CAR,45.57351303,2.848781824,0.311755205,15.99754416,146.1836478,9.13788056,0.335268,8.700740277
2022,CON,10,CAR,44.2930069,2.728020668,0.266767842,16.23631647,166.0357809,10.22619762,0.580336,11.36631755
2022,CON,1,PET,42.38693237,2.465904713,0.437910842,17.18920125,96.79352124,5.631065681,0.056531,11.57010038
2022,CON,2,PET,42.68239594,3.461513519,0.638606232,12.33055879,66.83679836,5.420419262,NA,13.1207229
2022,CON,3,PET,43.18748474,3.571707249,0.735110347,12.09155223,58.74966246,4.858736195,0.150447,13.92962348
2022,CON,4,PET,NA,NA,0.39056624,NA,NA,NA,0.097836,11.17120486
2022,CON,5,PET,42.6973381,3.223148584,0.481758698,13.2470896,88.62805861,6.690379643,0.10395,10.82576492
2022,CON,7,PET,43.11045074,3.45707202,0.422322682,12.47022061,102.0794112,8.185854481,0.097987,18.25173376
2022,CON,9,PET,43.09915161,2.780211687,0.378750092,15.50211152,113.793112,7.340491124,0.130202,9.740759165
2022,CON,10,PET,42.46860886,2.559915781,0.378073273,16.58984611,112.3290427,6.770951459,0.131811,11.25227885
2022,HAY,1,CAR,45.0666275,3.207722902,0.400784338,14.04941414,112.4460794,8.003613411,0.148889,20.04149553
2022,HAY,2,CAR,45.78863144,3.368492365,0.391693506,13.59321218,116.8991334,8.599816724,0.295934,29.15224509
2022,HAY,3,CAR,45.16455841,4.010596752,0.574445921,11.26130629,78.62282034,6.981678532,0.270444,10.27244582
2022,HAY,4,CAR,43.02483749,3.811462402,0.66554261,11.28827546,64.64625535,5.726849561,0.118231,13.07377098
2022,HAY,5,CAR,42.78119659,2.684053421,0.385742093,15.93902575,110.9062179,6.958155389,0.455252,16.0685941
2022,HAY,6,CAR,44.59323502,3.375703573,0.421208433,13.21005653,105.8697584,8.014330457,NA,24.79908546
2022,HAY,8,CAR,NA,NA,0.457907492,NA,NA,NA,0.200278,13.90456269
2022,HAY,9,CAR,44.5519371,3.499979973,0.512695429,12.72919772,86.89747284,6.826626056,0.198276,17.03823344
2022,HAY,10,CAR,44.59237289,3.688000202,0.913911094,12.09120674,48.79290028,4.03540369,0.202595,10.21738564
2022,HAY,1,PET,41.81124878,2.278968811,0.528200335,18.34656472,79.15793681,4.314591752,0.090583,13.99102811
2022,HAY,2,PET,43.6098175,3.667770624,0.737558196,11.89000676,59.12729021,4.972855897,0.129343,12.44807619
2022,HAY,3,PET,43.97523499,3.800639629,0.671464268,11.57048268,65.49154898,5.660226181,NA,11.90597788
2022,HAY,5,PET,42.60329819,3.506944656,0.38137197,12.14826647,111.7106173,9.195601488,0.105327,14.33656286
2022,HAY,6,PET,38.61325073,2.986346006,0.390905377,12.92993198,98.77902164,7.639562357,NA,12.8342437
2022,HAY,7,PET,43.20462418,3.535356045,0.485097685,12.22072788,89.06376071,7.287926022,0.095522,8.094634605
2022,HAY,8,PET,42.6384964,3.305310965,0.480268088,12.89999545,88.7806154,6.882220677,0.118772,11.41945406
2022,HAY,9,PET,43.05459976,2.99211359,0.256389206,14.38936005,167.9267255,11.6702011,0.120311,20.8114176
2022,HAY,10,PET,43.06860733,3.055626154,0.660647394,14.09485492,65.19151927,4.625199737,0.142641,12.56335329
2022,LAT,1,CAR,44.86737061,3.258270502,0.490991511,13.77030255,91.38115354,6.636103542,0.352257,23.34444444
2022,LAT,2,CAR,45.00481033,3.430170536,0.440821764,13.12028363,102.0929864,7.781309403,0.236671,16.66515558
2022,LAT,3,CAR,45.06708145,3.156026363,0.490609686,14.27969106,91.85933903,6.432865993,0.435062,10.18222222
2022,LAT,5,CAR,42.00246429,3.906159878,0.415580656,10.75287894,101.069344,9.399282232,0.288751,21.29126984
2022,LAT,6,CAR,45.13097382,3.522886753,1.330887177,12.81079325,33.91044305,2.647021336,0.22927,20.72362264
2022,LAT,7,CAR,44.62017822,3.549342155,1.421875655,12.57139387,31.38120978,2.496239486,NA,16.626824
2022,LAT,8,CAR,44.71942902,3.020786524,0.349529417,14.80390245,127.9418179,8.642438596,0.288103,11.44817609
2022,LAT,9,CAR,44.72817612,3.212925196,0.370051,13.92132508,120.870302,8.682384848,0.324095,20.50414154
2022,LAT,10,CAR,44.49792862,3.757158756,0.503002083,11.84350503,88.4647005,7.469469577,NA,13.43308081
2022,LAT,1,PET,43.30248642,3.928866863,1.060790729,11.02162225,40.82095105,3.703715309,NA,15.20660377
2022,LAT,2,PET,43.23173904,3.71572423,0.669860033,11.63480828,64.5384661,5.547015863,NA,20.24548269
2022,LAT,5,PET,42.76092148,3.382153749,0.452057767,12.64310397,94.59171944,7.481684853,0.093624,18.30131837
2022,LAT,6,PET,37.88752365,2.741978645,0.39929783,13.81758524,94.88537335,6.867001123,NA,13.00696717
2022,LAT,7,PET,41.70449829,3.749101877,0.537907983,11.1238637,77.53091537,6.969782931,0.173819,17.25016781
2022,LAT,8,PET,44.25981903,3.562397003,0.435720566,12.42416805,101.5784485,8.175875282,0.096645,12.2410573
2022,LAT,9,PET,41.65320206,2.741930723,0.45489933,15.19119419,91.56575822,6.027554983,0.12003,17.75926573
2022,LAT,10,PET,43.18632507,3.387957335,0.551526717,12.74700972,78.30323311,6.142870748,0.118842,14.43337909
2022,RUN,1,CAR,45.4736824,2.999882221,0.310172974,15.15848925,146.6074939,9.671642831,0.417909,5.028846154
2022,RUN,2,CAR,45.9221611,3.271615744,0.314706943,14.03653873,145.9203942,10.39575332,0.275028,9.113888889
2022,RUN,3,CAR,42.5324707,2.934592962,0.408098997,14.49348215,104.2209636,7.190885014,0.342031,13.35202789
2022,RUN,4,CAR,45.2363472,3.406490803,0.329766475,13.27945672,137.1769133,10.33000944,0.18759,15.87470239
2022,RUN,5,CAR,44.80540085,3.661156178,0.389245622,12.23804686,115.1082973,9.405773544,0.189338,27.82452381
2022,RUN,6,CAR,45.25082779,2.968994856,0.374349385,15.24112704,120.8785953,7.931079831,0.305854,21.30104327
2022,RUN,7,CAR,53.63324738,3.737141848,0.449315026,14.35140799,119.3666899,8.317420144,0.317575,9.135896305
2022,RUN,8,CAR,41.60515213,2.821157932,0.314496315,14.7475445,132.2913819,8.970400593,0.242695,17.77065853
2022,RUN,9,CAR,44.7514534,3.271141052,0.429369911,13.68068594,104.2258719,7.618468284,0.279077,11.73139607
2022,RUN,10,CAR,45.29027939,2.705521584,0.336379569,16.73994385,134.6403989,8.043061565,0.396323,9.781523719
2022,RUN,1,PET,43.63928604,3.380462646,0.496860956,12.90926438,87.8299764,6.803639137,0.104778,22.61860008
2022,RUN,2,PET,49.6050148,4.084775925,0.482023721,12.14387661,102.909904,8.474221809,0.131053,12.99100694
2022,RUN,3,PET,39.64590836,2.836298227,0.608566145,13.97804645,65.14642444,4.660624407,0.129161,14.54729277
2022,RUN,4,PET,41.54198074,3.139803648,0.381236547,13.23075752,108.9664176,8.235841173,0.094248,20.20032051
2022,RUN,5,PET,NA,NA,NA,NA,NA,NA,NA,13.99499182
